Year_Month,Year,Primary.Type,Location.Description,total_crimes,days_with_crime,avg_daily_crimes
2001-01,2001,NARCOTICS,STREET,323,31,10.42
2001-01,2001,NARCOTICS,SIDEWALK,179,31,5.77
2001-01,2001,BATTERY,RESIDENCE,137,29,4.72
2001-01,2001,BATTERY,STREET,99,28,3.54
2001-01,2001,MOTOR VEHICLE THEFT,STREET,65,28,2.32
2001-01,2001,THEFT,STREET,60,27,2.22
2001-01,2001,OTHER OFFENSE,RESIDENCE,58,26,2.23
2001-01,2001,THEFT,RESIDENCE,58,25,2.32
2001-01,2001,CRIMINAL DAMAGE,RESIDENCE,48,21,2.29
2001-01,2001,ROBBERY,STREET,44,24,1.83
2001-01,2001,CRIMINAL DAMAGE,STREET,43,25,1.72
2001-01,2001,THEFT,GROCERY FOOD STORE,36,23,1.57
2001-01,2001,PROSTITUTION,STREET,35,18,1.94
2001-01,2001,BURGLARY,RESIDENCE,32,20,1.6
2001-01,2001,BATTERY,APARTMENT,31,20,1.55
2001-01,2001,BATTERY,SIDEWALK,30,22,1.36
2001-01,2001,ASSAULT,RESIDENCE,25,15,1.67
2001-01,2001,OTHER OFFENSE,STREET,25,17,1.47
2001-01,2001,NARCOTICS,RESIDENCE,24,18,1.33
2001-01,2001,NARCOTICS,CHA HALLWAY/STAIRWELL/ELEVATOR,23,15,1.53
2001-01,2001,BATTERY,"SCHOOL, PUBLIC, BUILDING",18,8,2.25
2001-01,2001,NARCOTICS,ALLEY,16,14,1.14
2001-01,2001,OFFENSE INVOLVING CHILDREN,RESIDENCE,16,8,2
2001-01,2001,ASSAULT,STREET,14,9,1.56
2001-01,2001,BURGLARY,APARTMENT,13,8,1.62
2001-01,2001,DECEPTIVE PRACTICE,RESIDENCE,13,11,1.18
2001-01,2001,THEFT,OTHER,13,12,1.08
2001-01,2001,BATTERY,CHA APARTMENT,12,11,1.09
2001-01,2001,ASSAULT,SIDEWALK,11,10,1.1
2001-01,2001,NARCOTICS,CHA PARKING LOT/GROUNDS,11,9,1.22
2001-01,2001,ASSAULT,APARTMENT,10,9,1.11
2001-01,2001,ASSAULT,"SCHOOL, PUBLIC, BUILDING",10,7,1.43
2001-01,2001,BATTERY,RESIDENCE PORCH/HALLWAY,10,8,1.25
2001-01,2001,BATTERY,OTHER,9,9,1
2001-01,2001,OTHER OFFENSE,APARTMENT,9,8,1.12
2001-01,2001,CRIMINAL DAMAGE,APARTMENT,8,5,1.6
2001-01,2001,NARCOTICS,RESIDENCE PORCH/HALLWAY,8,5,1.6
2001-01,2001,ROBBERY,SIDEWALK,8,6,1.33
2001-01,2001,WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING",8,7,1.14
2001-01,2001,BATTERY,CHA HALLWAY/STAIRWELL/ELEVATOR,7,7,1
2001-01,2001,BATTERY,VEHICLE NON-COMMERCIAL,7,6,1.17
2001-01,2001,THEFT,SMALL RETAIL STORE,7,6,1.17
2001-01,2001,BATTERY,RESTAURANT,6,6,1
2001-01,2001,BURGLARY,OTHER,6,4,1.5
2001-01,2001,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),6,5,1.2
2001-01,2001,NARCOTICS,CTA PLATFORM,6,4,1.5
