acc,f1,prec,rec,auc,year,n_test,thr
0.8085106382978723,0.64,1.0,0.47058823529411764,0.915686274509804,2012,47,0.53
0.6326530612244898,0.6785714285714286,0.59375,0.7916666666666666,0.725,2013,49,0.47
0.5,0.6575342465753424,0.4897959183673469,1.0,0.9326923076923077,2014,50,0.5
0.86,0.8627450980392157,0.9166666666666666,0.8148148148148148,0.9452495974235104,2015,50,0.53
0.78,0.8253968253968254,0.7222222222222222,0.9629629629629629,0.9307568438003221,2016,50,0.51
0.9,0.9122807017543859,0.9285714285714286,0.896551724137931,0.9326765188834154,2017,50,0.52
0.92,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9523809523809524,2018,50,0.53
0.9583333333333334,0.9642857142857143,0.9310344827586207,1.0,0.9770723104056438,2019,48,0.49
0.9375,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.9392857142857143,2020,48,0.51
0.9166666666666666,0.9354838709677419,0.9666666666666667,0.90625,0.951171875,2021,48,0.52
